name,raw_review,date
Douglas Vasconcellos,"Não consigo habilitar notificações no aplicativo quando eu faço compra pelo cartão. Já fui em configurações, notificações e habilitei tudo porem quando uso o cartao nao chega nenhuma mensagem(notificação do aplicativo bb). Um exemplo é o aplicativo do Santander... lá quando faço uso do cartão ja vem uma notificacao avisando do uso do cartão. Gostaria muito que fosse assim aqui no BB.",11 de janeiro de 2020
Lucas Henrique,"Excelente aplicativo de banco. Consigo fazer tudo que é necessário, além de ter minhas dúvidas e solicitações atendidas por um gerente direto do app. O único ponto a melhorar é a leitura do código de barras, pois às vezes não consegue reconhecer os boletos e preciso digitar os números.",12 de janeiro de 2020
KABAL TV,"Sempre usei o APP normalmente, formatei o celular, reinstei o APP fiz o procedimento, acessei 2x normalmente, aí do nada tá dando tentativa de fralde, eu evito ir no banco para resolver tudo pelo celular, e o APP vai fazer eu ir no banco para alterar a senha, e não consigo acessar a conta mais pelo meu celular, transtorno desnecessário.",20 de janeiro de 2020
Jeferson Heculano,"Geralmente eu não escrevo comentários, mas este aplicativo é muito ruim! Possuo um cartão de crédito que estava vinculado s depois sumiu e nem há a opção de adicionar cartão. Em suma, não consigo a ver fatura. Este é sem sombra de dúvidas o pior aplicativo de banco que já usei. A equipe se esforçou ;)",21 de janeiro de 2020
Meluxa Silva,"Olá tudo bem abri uma conta fácil pelo aplicativo para meu pai,daí chegou cartão ele fez empréstimo no dia 24 de janeiro e lá INSS consta que dinheiro está na conta banco Brasil agência e conta tudo certinho eu conferir fez Ted e até agora nada dinheiro,gostaria também de saber porque se eu for consultar a conta por telefone suas atendentes diz essa conta não está disponível para essa consulta ,só consigo consultar somente pelo aplicativo 🤦😒",25 de janeiro de 2020
João Manoel,"Agendamento de pagamentos mal está aparecendo. Valor está sendo descontado antes mesmo da data, isso está correto? Mesmo assim só está aparecendo notificação de agendamento somente de conta de telefone, água e luz não está mostrando notificação de agendamento. Desde já agradeço!",12 de janeiro de 2020
Rita de cássia pequena,"Eu por engano desinstalei meu aplicativo do celular, é ao instalar novamente, pelo próprio celular, foi tudo muito prático!!! Eu adorei, porque já imaginava ir novamente na agência para instalar o APP,,, estou muito satisfeita com a praticidade, do APP ... estão de parabéns por está sempre facilitando nossas necessidades, obrigada!.",18 de janeiro de 2020
JESUS I LOVE YOU,"Depois que aconteceu a atualização meu aplicativo não mostra mais o limite do cartão, não mostra mais nada. Agora esse aplicativo não está sendo útil, enquanto tiver assim não mudo a nota. Muito obrigado, agradeço.",24 de janeiro de 2020
Ramon Leonel,"Aplicativo está com erro, não consigo acessar minha fatura, ver possíveis gastos entre outras coisas que são muito úteis ao controle financeiro . Alguém do atendimento poderia nos dar um retorno sobre quando a instabilidade vai normalizar?",26 de janeiro de 2020
Hudson Osório dos Santos,"Nunca consegui vincular meu cartão de crédito ao aplicativo para consultar fatura e etc. Agora que atualizou, ficou pior. Não consigo acessar minha conta. Quando tento entrar aparece a mensagem que minha senha está bloqueada. Estou p... com esse aplicativo. Se eu for descrever o que penso desse aplicativo, talvez eu até seja banido da internet.",21 de janeiro de 2020
Alessandra Gonçalves,"Praticidade descreve esse aplicativo. É minha primeira experiência com aplicativo de banco e adorei. Super recomendo. Fácil de usar, você pode abrir suas contas em PDF diretamente no aplicativo e pagar suas contas sem sair de casa. Adorooooo!",27 de janeiro de 2020
Jose Wilson,só não dou menos de uma estrela pq não é possível...gente. prestem atenção nesse app consertem isso. faça ficar funcional... se fosse pra eu ir todo dia num caixa eletrônico pra desbloquear esse ou aquele serviço eu não estaria usando uma conta digital. tem 6 meses q estou com esse App e com essa conta é até hje não consigo fazer praticamente nada... qualquer coisa q tento fazer aparece a msg falando q nao tenho cartão.. e estou sim c ele.. isso aqui e muito primitivo.,21 de janeiro de 2020
Denize Cruz,"O app está ótimo, posso fazer tudo que eu desejo no app, inclusive gerenciar meus cartões BB. Mas o método de trocar a senha digitalizando o cartão não funciona de jeito nenhum, e a pesquisa de obrigações DDA por beneficiário só abre um teclado numérico, que não dá pra escrever nomes, só números",25 de janeiro de 2020
Thais Oliveira,"Banco do Brasil tem muito que melhorar. Nao é intuitivo, não tem atendimento com chat e nem direcionamento ou qualquer rota disponível no app. É uma droga ficar desbloqueando o aparelho no caixa toda vez que quer fazer uma nova coisa. Devia ser uma vez só",22 de janeiro de 2020
Kéllyta Santos,"Esse aplicativo é ótimo,da pra fazer tudo por ele sem precisar ir ao banco,pegar aquelas filas enormes que cansam a gente...Pelo menos comigo sempre funcionou direitinho,até hoje nunca tive problemas com bugs e espero que nunca tenha!kkk É como diz aquele ditado: Uma verdadeira ""mão na roda!""",21 de janeiro de 2020
Jéssica S. Cardozo,"Muito insatisfeita, o banco não facilita para não correntistas, eu tenho a opção de ter cartão sem ser correntista mas é um sacrifício acessar a fatura, estava conseguindo acessar no aplicativo mas do nada sumiu tudo e diz que não tenho cartão sendo que eu tenho sim, uso normalmente e consigo acessar a fatura no computador.",25 de janeiro de 2020
